,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,book,0.010597422554917899,0.0786946661669482,0,1,0,0,0,LDA,0,1,0
1,recipes,0.010237963262222547,0.06692786546614476,0,1,0,0,0,LDA,0,1,0
2,cookery,0.007763100647623655,0.08802028367365707,0,1,0,0,0,LDA,0,1,0
3,tea,0.007350550424754582,0.05672409505533716,0,1,0,0,0,LDA,0,1,0
4,cookbook,0.007098978959733983,0.06039726276153226,0,1,0,0,0,LDA,0,1,0
5,edition,0.007019778464243051,0.08520464695986231,0,1,0,0,0,LDA,0,1,0
6,chinese,0.006057763547651802,0.03866174317413492,0,1,0,0,0,LDA,0,1,0
7,published,0.0060463329996555135,0.05551446144934767,0,1,0,0,0,LDA,0,1,0
8,english,0.005972492665155232,0.053569996950246175,0,1,0,0,0,LDA,0,1,0
9,cookery book,0.0054920183709938775,0.07942885019997552,0,1,0,0,0,LDA,0,1,0
10,species,0.011475864451167196,0.04069171468645744,0,1,0,0,0,LDA,0,1,0
11,fruit,0.006937803793281823,0.025703109267548596,0,1,0,0,0,LDA,0,1,0
12,plant,0.006886343680533738,0.026075213869646778,0,1,0,0,0,LDA,0,1,0
13,leaves,0.006500102760820847,0.0266673749816852,0,1,0,0,0,LDA,0,1,0
14,seeds,0.006399159314559134,0.027224539469735114,0,1,0,0,0,LDA,0,1,0
15,tree,0.005942884504447117,0.026069729019962736,0,1,0,0,0,LDA,0,1,0
16,cultivars,0.005270424810501316,0.023617629304232418,0,1,0,0,0,LDA,0,1,0
17,flowers,0.005151575887787391,0.023466457101643343,0,1,0,0,0,LDA,0,1,0
18,genus,0.004626986822777997,0.02187070530400226,0,1,0,0,0,LDA,0,1,0
19,cultivated,0.004491534512744627,0.020795759330080495,0,1,0,0,0,LDA,0,1,0
20,dish,0.007914702704124667,0.024072595903272098,0,1,0,0,0,LDA,0,1,0
21,meat,0.0055885850236902035,0.016969147443877723,0,1,0,0,0,LDA,0,1,0
22,cooked,0.005281020066337031,0.01761928846304877,0,1,0,0,0,LDA,0,1,0
23,served,0.004998705005515339,0.016440307632615465,0,1,0,0,0,LDA,0,1,0
24,cuisine,0.0048273154923417355,0.016021856012423445,0,1,0,0,0,LDA,0,1,0
25,rice,0.004620208332081578,0.015474918666780546,0,1,0,0,0,LDA,0,1,0
26,sauce,0.004551768078700933,0.015454075256238986,0,1,0,0,0,LDA,0,1,0
27,bread,0.0044632882443317356,0.014765497641859223,0,1,0,0,0,LDA,0,1,0
28,cheese,0.004352356951660859,0.01450204512892952,0,1,0,0,0,LDA,0,1,0
29,prepared,0.004155526231353272,0.014296507747983996,0,1,0,0,0,LDA,0,1,0
30,restaurant,0.008688965544255838,0.023999425470327185,0,1,0,0,0,LDA,0,1,0
31,opened,0.004115033057934774,0.013071313946301844,0,1,0,0,0,LDA,0,1,0
32,menu,0.00401570682327551,0.01304216467803074,0,1,0,0,0,LDA,0,1,0
33,locations,0.003798438340296927,0.01211613261853316,0,1,0,0,0,LDA,0,1,0
34,chain,0.003754614275020312,0.011806356655727481,0,1,0,0,0,LDA,0,1,0
35,chef,0.003746745665430525,0.012146681618749669,0,1,0,0,0,LDA,0,1,0
36,street,0.0034308410740546587,0.011157401106370857,0,1,0,0,0,LDA,0,1,0
37,building,0.0032882473780612123,0.010763627816762841,0,1,0,0,0,LDA,0,1,0
38,bar,0.00300106559864634,0.009626615149172566,0,1,0,0,0,LDA,0,1,0
39,franchise,0.0027387440945897744,0.009020175906480429,0,1,0,0,0,LDA,0,1,0
40,beer,0.012312261702713325,0.05444602623475302,0,1,0,0,0,LDA,0,1,0
41,brewery,0.008771192831759684,0.048427735002126625,0,1,0,0,0,LDA,0,1,0
42,alcohol,0.007471580641426604,0.03980167512495,0,1,0,0,0,LDA,0,1,0
43,drink,0.006648782568379126,0.03130641185473561,0,1,0,0,0,LDA,0,1,0
44,brewing,0.006415035609944376,0.0383199328330643,0,1,0,0,0,LDA,0,1,0
45,abv,0.00586469785223722,0.04028167783055286,0,1,0,0,0,LDA,0,1,0
46,wine,0.005634038396300092,0.023743643337512835,0,1,0,0,0,LDA,0,1,0
47,ale,0.00562487499170752,0.03781046303498018,0,1,0,0,0,LDA,0,1,0
48,lager,0.005223934527834427,0.036272308860070816,0,1,0,0,0,LDA,0,1,0
49,malt,0.004869001396849805,0.0335335273500003,0,1,0,0,0,LDA,0,1,0
50,company,0.01021778939060217,0.030394624810951912,0,1,0,0,0,LDA,0,1,0
51,brand,0.007333470932899232,0.026769218606837734,0,1,0,0,0,LDA,0,1,0
52,products,0.006151105071319552,0.022719331890424986,0,1,0,0,0,LDA,0,1,0
53,stores,0.004043055364468609,0.016630322726242826,0,1,0,0,0,LDA,0,1,0
54,business,0.0040428440694908335,0.015798688794756252,0,1,0,0,0,LDA,0,1,0
55,acquired,0.004025582887344337,0.017789188717038783,0,1,0,0,0,LDA,0,1,0
56,coca cola,0.003503767660272547,0.015650900169675182,0,1,0,0,0,LDA,0,1,0
57,announced,0.0034625604219971897,0.014947137302245473,0,1,0,0,0,LDA,0,1,0
58,market,0.003448386147407604,0.014735389381841513,0,1,0,0,0,LDA,0,1,0
59,sales,0.0034075484101252804,0.014693077847837067,0,1,0,0,0,LDA,0,1,0
60,grapes,0.004719173895134635,0.023167506790334205,0,1,0,0,0,LDA,0,1,0
61,vineyards,0.0040572080036284115,0.021115934996570565,0,1,0,0,0,LDA,0,1,0
62,diet,0.003695819567656204,0.018115856800336495,0,1,0,0,0,LDA,0,1,0
63,food,0.0036828752114147975,0.014059427850613706,0,1,0,0,0,LDA,0,1,0
64,proteins,0.0036361818939079807,0.019206876857977822,0,1,0,0,0,LDA,0,1,0
65,animals,0.003339927263841899,0.01719891852131714,0,1,0,0,0,LDA,0,1,0
66,intake,0.003249726420154234,0.017649350984001624,0,1,0,0,0,LDA,0,1,0
67,acid,0.0031391167982775976,0.01614011604245387,0,1,0,0,0,LDA,0,1,0
68,water,0.0031177088338897145,0.013107676230141802,0,1,0,0,0,LDA,0,1,0
69,process,0.003112914468080519,0.015305459601539105,0,1,0,0,0,LDA,0,1,0
