,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,include,0.0064186415779076515,0.03021390521606795,0,0,1,0,0,kmeans_plain,0,0,1
1,accredited,0.005410065522097403,0.03397900672193879,0,0,1,0,0,kmeans_plain,0,0,1
2,hosted,0.004697750375000641,0.023029285754483153,0,0,1,0,0,kmeans_plain,0,0,1
3,couple,0.0045766176073986356,0.018086256626052663,0,0,1,0,0,kmeans_plain,0,0,1
4,neighbors,0.004478571328921989,0.012752948309069662,0,0,1,0,0,kmeans_plain,0,0,1
5,arm,0.004442874265954213,0.01682643674202788,0,0,1,0,0,kmeans_plain,0,0,1
6,future,0.004393914740379865,0.02859851820688842,0,0,1,0,0,kmeans_plain,0,0,1
7,adult,0.004358894844721787,0.018366520842854037,0,0,1,0,0,kmeans_plain,0,0,1
8,hollows,0.004351096506567234,0.013814241324291833,0,0,1,0,0,kmeans_plain,0,0,1
9,giresun,0.004216617245074789,0.022606521934328317,0,0,1,0,0,kmeans_plain,0,0,1
10,weather,0.0053501298198652516,0.015571934440023638,0,0,1,0,0,kmeans_plain,0,0,1
11,nitroglycerine,0.004853246773373923,0.021135245293042407,0,0,1,0,0,kmeans_plain,0,0,1
12,detonator,0.004786433282695054,0.013586900945196823,0,0,1,0,0,kmeans_plain,0,0,1
13,randomized,0.004760486583474288,0.01708840554707396,0,0,1,0,0,kmeans_plain,0,0,1
14,unit,0.004644109638306594,0.018620549008202716,0,0,1,0,0,kmeans_plain,0,0,1
15,peaking,0.004566519237292004,0.012444073084437892,0,0,1,0,0,kmeans_plain,0,0,1
16,universal,0.004541648889487202,0.01376233128678171,0,0,1,0,0,kmeans_plain,0,0,1
17,called auditory,0.004531775796574047,0.02075630292432651,0,0,1,0,0,kmeans_plain,0,0,1
18,lining,0.004367220305666097,0.01085120331271133,0,0,1,0,0,kmeans_plain,0,0,1
19,jin,0.004351808406042987,0.016736457652173527,0,0,1,0,0,kmeans_plain,0,0,1
20,abacuses,0.006743106854134258,0.022106159285179502,0,0,1,0,0,kmeans_plain,0,0,1
21,mccullouch,0.006243487966468096,0.023065145181394058,0,0,1,0,0,kmeans_plain,0,0,1
22,immigration,0.00583819355149155,0.02001326846528085,0,0,1,0,0,kmeans_plain,0,0,1
23,com,0.0057437712540904405,0.017785376315372227,0,0,1,0,0,kmeans_plain,0,0,1
24,macos,0.005392877492132875,0.018151569073161698,0,0,1,0,0,kmeans_plain,0,0,1
25,messe convention,0.005089244314610553,0.017194498258903266,0,0,1,0,0,kmeans_plain,0,0,1
26,military,0.004983967633955193,0.012595763369757177,0,0,1,0,0,kmeans_plain,0,0,1
27,inaccurate,0.004938093426226139,0.01721953809576195,0,0,1,0,0,kmeans_plain,0,0,1
28,attempt,0.004937129208925577,0.016524717081424556,0,0,1,0,0,kmeans_plain,0,0,1
29,largest,0.00492163960756646,0.017545144204147017,0,0,1,0,0,kmeans_plain,0,0,1
30,par,0.008144180714154011,0.04030834039408426,0,0,1,0,0,kmeans_plain,0,0,1
31,iii,0.007993412039606016,0.03268579431799792,0,0,1,0,0,kmeans_plain,0,0,1
32,radiate,0.007828277332042177,0.037937528897407896,0,0,1,0,0,kmeans_plain,0,0,1
33,heavenly,0.007652797763746425,0.03436374119262295,0,0,1,0,0,kmeans_plain,0,0,1
34,barrier,0.006365790061564029,0.03295227938509638,0,0,1,0,0,kmeans_plain,0,0,1
35,people,0.006317578181460551,0.026983110168739884,0,0,1,0,0,kmeans_plain,0,0,1
36,competition,0.006288780633808177,0.02957555154137047,0,0,1,0,0,kmeans_plain,0,0,1
37,aroused,0.006240358650044875,0.02440361214141135,0,0,1,0,0,kmeans_plain,0,0,1
38,legale,0.005763850530992727,0.029492860501584974,0,0,1,0,0,kmeans_plain,0,0,1
39,prove,0.005538522902328285,0.016814046117249494,0,0,1,0,0,kmeans_plain,0,0,1
40,sand,0.004236973423694918,0.014969573953639913,0,0,1,0,0,kmeans_plain,0,0,1
41,devices,0.0036050213634347137,0.008892410823765276,0,0,1,0,0,kmeans_plain,0,0,1
42,local,0.003556213394010969,0.01237151282386877,0,0,1,0,0,kmeans_plain,0,0,1
43,wooden pagoda,0.0034812617955495557,0.011616961376140784,0,0,1,0,0,kmeans_plain,0,0,1
44,basing,0.0034294557101288837,0.009299487284516276,0,0,1,0,0,kmeans_plain,0,0,1
45,applications,0.0033931743056515268,0.009126451849353553,0,0,1,0,0,kmeans_plain,0,0,1
46,windmills,0.0033248240821665332,0.009012002583110978,0,0,1,0,0,kmeans_plain,0,0,1
47,arrival,0.003306496509047263,0.008879274956780907,0,0,1,0,0,kmeans_plain,0,0,1
48,dollars,0.0032953801989885835,0.010469542679066924,0,0,1,0,0,kmeans_plain,0,0,1
49,xrossmediabar,0.0032470263244007863,0.009904350636725331,0,0,1,0,0,kmeans_plain,0,0,1
50,bao,0.006574603952454458,0.0189048515489196,0,0,1,0,0,kmeans_plain,0,0,1
51,feinstein,0.006019075638613939,0.01792189104493294,0,0,1,0,0,kmeans_plain,0,0,1
52,crimes,0.005613240603631743,0.018906755590853058,0,0,1,0,0,kmeans_plain,0,0,1
