,label,tfidf,pmi,country,key_words,alg,kmeans_plain
0,effects,0.004627079725952126,0.017935857909091697,0,1,kmeans_plain,1
1,studies,0.004424230943179711,0.017655265405627164,0,1,kmeans_plain,1
2,increase,0.004128573000019993,0.014899596315718612,0,1,kmeans_plain,1
3,health,0.00386716629167536,0.015120276057317323,0,1,kmeans_plain,1
4,processing,0.0038411752923389387,0.01579080116779285,0,1,kmeans_plain,1
5,research,0.0037816876057929845,0.015032356875537346,0,1,kmeans_plain,1
6,results,0.003701093840753585,0.014562101811676406,0,1,kmeans_plain,1
7,humans,0.0036603301059505685,0.016304568861290412,0,1,kmeans_plain,1
8,acids,0.003658626278039908,0.015433672223835189,0,1,kmeans_plain,1
9,industry,0.0036559328936756545,0.013473513318401575,0,1,kmeans_plain,1
10,company,0.007778182599944992,0.02019636030306781,1,1,kmeans_plain,1
11,brands,0.006558646005984806,0.019651162803818657,1,1,kmeans_plain,1
12,operations,0.00559728570924196,0.018447461306099533,1,1,kmeans_plain,1
13,marketing,0.005447696851578634,0.016682544141147254,1,1,kmeans_plain,1
14,united,0.005311022788105279,0.01297436709985809,1,1,kmeans_plain,1
15,business,0.005227045964933783,0.0163618140186559,1,1,kmeans_plain,1
16,advertising,0.005187201142153072,0.018062788643311452,1,1,kmeans_plain,1
17,sales,0.005103133594399905,0.01630122539330027,1,1,kmeans_plain,1
18,chains,0.005061006144847309,0.017464701814182804,1,1,kmeans_plain,1
19,sold,0.0050414663597340105,0.014766583370219763,1,1,kmeans_plain,1
20,restaurant,0.007773941595585038,0.028510970041207263,2,1,kmeans_plain,1
21,chef,0.006962759454307109,0.03321481682783402,2,1,kmeans_plain,1
22,opened,0.006785243261423306,0.02463000501318686,2,1,kmeans_plain,1
23,work,0.006512725449046856,0.024139737195691284,2,1,kmeans_plain,1
24,award,0.006507807754042595,0.030756460709547847,2,1,kmeans_plain,1
25,new,0.006326999279246975,0.016141980246251676,2,1,kmeans_plain,1
26,york,0.005902042903657181,0.02554278416347382,2,1,kmeans_plain,1
27,kitchen,0.005848682355655946,0.029487341505539406,2,1,kmeans_plain,1
28,city,0.005755547111441299,0.019959606499322165,2,1,kmeans_plain,1
29,house,0.005701141219320521,0.025065072785115203,2,1,kmeans_plain,1
30,beers,0.00582830814657924,0.026766227670930298,3,1,kmeans_plain,1
31,alcohol,0.005370041157228254,0.02301415663637446,3,1,kmeans_plain,1
32,wines,0.005361107550555654,0.023151798262902073,3,1,kmeans_plain,1
33,bottle,0.005290720053187198,0.023658151971205986,3,1,kmeans_plain,1
34,produced,0.005125848604974422,0.013871246473730985,3,1,kmeans_plain,1
35,breweries,0.004974025031784566,0.02488172344627145,3,1,kmeans_plain,1
36,drink,0.00496249348358148,0.01778275993147202,3,1,kmeans_plain,1
37,brewing,0.004777820125590869,0.022558402020845855,3,1,kmeans_plain,1
38,years,0.004232163549026615,0.011075017909513879,3,1,kmeans_plain,1
39,production,0.004220910730780807,0.011304636210667837,3,1,kmeans_plain,1
40,waters,0.010015326385056086,0.07232210321791381,4,1,kmeans_plain,1
41,fisheries,0.008801252835556092,0.08680794774988287,4,1,kmeans_plain,1
42,sea,0.008530200301571188,0.06360386570161541,4,1,kmeans_plain,1
43,fishing,0.008285833781679939,0.06255690404251467,4,1,kmeans_plain,1
44,females,0.007815205122759981,0.07857772291098993,4,1,kmeans_plain,1
45,species,0.007681421405911375,0.03751144604308975,4,1,kmeans_plain,1
46,eggs,0.006008962586381069,0.03260418370042391,4,1,kmeans_plain,1
47,live,0.005881375785197912,0.03664395646155099,4,1,kmeans_plain,1
48,populations,0.005859677882697637,0.044615407361281306,4,1,kmeans_plain,1
49,ocean,0.005615302271169621,0.059170127997405286,4,1,kmeans_plain,1
50,dishes,0.006574396585331308,0.017241259180957626,5,1,kmeans_plain,1
51,cooked,0.005801416526516018,0.015239162636233811,5,1,kmeans_plain,1
52,served,0.005595791651573268,0.013967048628496794,5,1,kmeans_plain,1
53,preparation,0.0054551825261430435,0.015039799373103712,5,1,kmeans_plain,1
54,traditional,0.005268850534932323,0.013783786472240074,5,1,kmeans_plain,1
55,recipe,0.005204746415071167,0.014540945441574442,5,1,kmeans_plain,1
56,popular,0.0050717968072465525,0.01262108336638232,5,1,kmeans_plain,1
57,references,0.00503166169080123,0.011553959915125245,5,1,kmeans_plain,1
58,ingredients,0.00476107816847587,0.012832935086090031,5,1,kmeans_plain,1
59,called,0.004668217198356927,0.011153939222996092,5,1,kmeans_plain,1
60,cultivation,0.007815095573937409,0.02985980677818028,6,1,kmeans_plain,1
61,leaves,0.007813315988465372,0.02752697434752342,6,1,kmeans_plain,1
62,plants,0.0077345668126533595,0.025654960283221395,6,1,kmeans_plain,1
63,flowers,0.007154243325144136,0.02965483682666996,6,1,kmeans_plain,1
64,seeds,0.006882892374987137,0.026266788530354905,6,1,kmeans_plain,1
65,growing,0.006799097662301534,0.024000880812052153,6,1,kmeans_plain,1
66,uses,0.00604941008932544,0.01660742062381937,6,1,kmeans_plain,1
67,cultivars,0.005778544662696136,0.025819571038228576,6,1,kmeans_plain,1
68,fruits,0.005387979968586221,0.019076091257089815,6,1,kmeans_plain,1
69,varieties,0.004968366289302401,0.015552536683127076,6,1,kmeans_plain,1
70,processed,0.0038026735894788857,0.016283155906125127,0,1,kmeans_plain,1
71,increases,0.003669965375725257,0.015860125983496863,0,1,kmeans_plain,1
72,chemicals,0.003043793704360844,0.015303990628919385,0,1,kmeans_plain,1
73,reducing,0.003139943199547902,0.014967605884402541,0,1,kmeans_plain,1
74,announced,0.004757846103564284,0.016796299645985682,1,1,kmeans_plain,1
75,purchased,0.004513523239322734,0.015860937898239006,1,1,kmeans_plain,1
76,star,0.004949306135596474,0.027728076508564313,2,1,kmeans_plain,1
77,street,0.005676036470057941,0.026975384961222884,2,1,kmeans_plain,1
78,worked,0.006038390350726656,0.02642117259073922,2,1,kmeans_plain,1
79,vineyards,0.004170732911025496,0.021746475099862102,3,1,kmeans_plain,1
80,spirits,0.00401061661659532,0.020875139255453368,3,1,kmeans_plain,1
