,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,version,0.008003918219187833,0.024019509802196626,0,0,1,0,0,LDA,0,1,0
1,support,0.00788497332222238,0.02152912228168078,0,0,1,0,0,LDA,0,1,0
2,browsers,0.007121797252067266,0.02344546573898464,0,0,1,0,0,LDA,0,1,0
3,server,0.006967151445092508,0.021656765590453833,0,0,1,0,0,LDA,0,1,0
4,use,0.006777920743891756,0.016873922471811388,0,0,1,0,0,LDA,0,1,0
5,html,0.006680888153616314,0.022607048089942208,0,0,1,0,0,LDA,0,1,0
6,applications,0.00647553359479079,0.019507321300181565,0,0,1,0,0,LDA,0,1,0
7,web,0.0064077981710257545,0.016963004626606312,0,0,1,0,0,LDA,0,1,0
8,standard,0.006204155205096985,0.019900516523675724,0,0,1,0,0,LDA,0,1,0
9,features,0.006139492146230068,0.018174322437247065,0,0,1,0,0,LDA,0,1,0
10,university,0.006753526542337435,0.0231958449208113,0,0,1,0,0,LDA,0,1,0
11,research,0.005513663591126354,0.02058489087163385,0,0,1,0,0,LDA,0,1,0
12,information,0.004928938119557067,0.014302788261902528,0,0,1,0,0,LDA,0,1,0
13,social,0.004785140505005389,0.01985795010161289,0,0,1,0,0,LDA,0,1,0
14,world,0.00475418592029876,0.01621742007444949,0,0,1,0,0,LDA,0,1,0
15,references,0.004540579515325408,0.013338152306958714,0,0,1,0,0,LDA,0,1,0
16,technology,0.004540008493822512,0.014698391842144602,0,0,1,0,0,LDA,0,1,0
17,project,0.004449080760404153,0.0156260069873936,0,0,1,0,0,LDA,0,1,0
18,book,0.004361398771706415,0.020412723545709756,0,0,1,0,0,LDA,0,1,0
19,people,0.004343150266108816,0.015253959201979465,0,0,1,0,0,LDA,0,1,0
20,launched,0.007507917242465733,0.022502835112342936,0,0,1,0,0,LDA,0,1,0
21,awards,0.006757511019935418,0.022655317139721916,0,0,1,0,0,LDA,0,1,0
22,announced,0.006196286982496489,0.018986653176949322,0,0,1,0,0,LDA,0,1,0
23,music,0.005950360422457889,0.021194111774333085,0,0,1,0,0,LDA,0,1,0
24,official,0.005885466656033928,0.01751987310319358,0,0,1,0,0,LDA,0,1,0
25,app,0.005753552990657681,0.01970937971908657,0,0,1,0,0,LDA,0,1,0
26,year,0.005718269521125079,0.01632821795137732,0,0,1,0,0,LDA,0,1,0
27,business,0.0051965323260600845,0.01513418042789503,0,0,1,0,0,LDA,0,1,0
28,time,0.005161186486501233,0.013356846091024893,0,0,1,0,0,LDA,0,1,0
29,site,0.004953357949817859,0.013233865092055956,0,0,1,0,0,LDA,0,1,0
30,states,0.005258027815158384,0.014613988904952127,0,0,1,0,0,LDA,0,1,0
31,law,0.004466386042151733,0.015123944647999894,0,0,1,0,0,LDA,0,1,0
32,united,0.004259646097258419,0.012629550546658572,0,0,1,0,0,LDA,0,1,0
33,reported,0.0042370640128356635,0.013424443481043496,0,0,1,0,0,LDA,0,1,0
34,government,0.003864636158836665,0.012791111186895559,0,0,1,0,0,LDA,0,1,0
35,case,0.003791502212443133,0.012653878338753114,0,0,1,0,0,LDA,0,1,0
36,act,0.0037463587607858943,0.01334482826929105,0,0,1,0,0,LDA,0,1,0
37,protection,0.0037271936830465206,0.013581081551778298,0,0,1,0,0,LDA,0,1,0
38,activity,0.00369478047795906,0.01319820402900559,0,0,1,0,0,LDA,0,1,0
39,according,0.0036840620341727476,0.011960117790742538,0,0,1,0,0,LDA,0,1,0
40,board,0.008507025205764596,0.0742215938022076,0,0,1,0,0,LDA,0,1,0
41,wikimedia,0.00800639314863255,0.1304850217344027,0,0,1,0,0,LDA,0,1,0
42,january,0.007538098918367373,0.03920468340092599,0,0,1,0,0,LDA,0,1,0
43,new,0.007154708820141004,0.02052138324012862,0,0,1,0,0,LDA,0,1,0
44,founded,0.006645593970954268,0.05205370221877786,0,0,1,0,0,LDA,0,1,0
45,worked,0.0066402541008414,0.04044272603463943,0,0,1,0,0,LDA,0,1,0
46,foundation,0.006631350871205759,0.05172002464045236,0,0,1,0,0,LDA,0,1,0
47,wales,0.006493309898022545,0.12349475271291686,0,0,1,0,0,LDA,0,1,0
48,wikipedia,0.006347576785739264,0.06230365902633642,0,0,1,0,0,LDA,0,1,0
49,media,0.006165968828280145,0.02607111446161578,0,0,1,0,0,LDA,0,1,0
