,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,wikipedia,0.009538454438064017,0.02426521697966622,0,0,0,0,1,0,kmeans_plain,0,0,1
1,law,0.009076362137722178,0.022918065596365982,0,0,0,0,1,0,kmeans_plain,0,0,1
2,block,0.009076362137722178,0.022918065596365982,0,0,0,0,1,0,kmeans_plain,0,0,1
3,report,0.008600197667931136,0.021678638178396218,0,0,0,0,1,0,kmeans_plain,0,0,1
4,state,0.008251004485824961,0.020834790677821315,0,0,0,0,1,0,kmeans_plain,0,0,1
5,public,0.007873961209753495,0.019915084985758613,0,0,0,0,1,0,kmeans_plain,0,0,1
6,country,0.006816834329856324,0.017593362604453017,0,0,0,0,1,0,kmeans_plain,0,0,1
7,consumer,0.006077863920749434,0.01612100060423533,0,0,0,0,1,0,kmeans_plain,0,0,1
8,platform,0.006061637013125035,0.01596654958068082,0,0,0,0,1,0,kmeans_plain,0,0,1
9,purchase,0.006054121748192517,0.01596921089190037,0,0,0,0,1,0,kmeans_plain,0,0,1
10,advertiser,0.010355736222441948,0.025778521243042092,1,0,0,0,1,0,kmeans_plain,0,0,1
11,sale,0.009452625026233433,0.023761270522848377,1,0,0,0,1,0,kmeans_plain,0,0,1
12,pay,0.009302901561647722,0.02344590446790831,1,0,0,0,1,0,kmeans_plain,0,0,1
13,music,0.009254498824704725,0.023341977586401625,1,0,0,0,1,0,kmeans_plain,0,0,1
14,mobile,0.009158257322627778,0.023167880529320915,1,0,0,0,1,0,kmeans_plain,0,0,1
15,share,0.009072463310699616,0.022987351590131398,1,0,0,0,1,0,kmeans_plain,0,0,1
16,result,0.009044025595374549,0.022927798865804636,1,0,0,0,1,0,kmeans_plain,0,0,1
17,acquire,0.00888436539150619,0.022596077520512143,1,0,0,0,1,0,kmeans_plain,0,0,1
18,brand,0.008172994564623073,0.021245560406605888,1,0,0,0,1,0,kmeans_plain,0,0,1
19,marketing,0.00811218989034323,0.021128826558217944,1,0,0,0,1,0,kmeans_plain,0,0,1
20,rfc,0.007713076266937412,0.0204135903238761,2,0,0,0,1,0,kmeans_plain,0,0,1
21,define,0.007701060491583805,0.020766734779170487,2,0,0,0,1,0,kmeans_plain,0,0,1
22,value,0.007675908422038073,0.020624753524198035,2,0,0,0,1,0,kmeans_plain,0,0,1
23,ip address,0.007669936559165561,0.020224674378234442,2,0,0,0,1,0,kmeans_plain,0,0,1
24,spam,0.007649199514338339,0.01924138590977012,2,0,0,0,1,0,kmeans_plain,0,0,1
25,attack,0.00764904002567697,0.019226499400407087,2,0,0,0,1,0,kmeans_plain,0,0,1
26,contain,0.007619017860854394,0.019158934440182716,2,0,0,0,1,0,kmeans_plain,0,0,1
27,set,0.0076127507208447,0.019139744637181145,2,0,0,0,1,0,kmeans_plain,0,0,1
28,implementation,0.007605977450623399,0.019149572889069103,2,0,0,0,1,0,kmeans_plain,0,0,1
29,know,0.0076026069317906555,0.019164814163682348,2,0,0,0,1,0,kmeans_plain,0,0,1
30,world wide web,0.009304309957883599,0.022904258964568484,3,0,0,0,1,0,kmeans_plain,0,0,1
31,format,0.009227238054451381,0.022645412090622888,3,0,0,0,1,0,kmeans_plain,0,0,1
32,html,0.009195266283964533,0.022453513603149382,3,0,0,0,1,0,kmeans_plain,0,0,1
33,text,0.009143042451228158,0.022384659650369617,3,0,0,0,1,0,kmeans_plain,0,0,1
34,design,0.008713692285807309,0.021074990109760706,3,0,0,0,1,0,kmeans_plain,0,0,1
35,tag,0.008711238930002944,0.022623836018927684,3,0,0,0,1,0,kmeans_plain,0,0,1
36,arpanet,0.008633185300099053,0.02269804362942678,3,0,0,0,1,0,kmeans_plain,0,0,1
37,element,0.008626256544834562,0.022635194637879177,3,0,0,0,1,0,kmeans_plain,0,0,1
38,specification,0.008597970809762932,0.02249567428633109,3,0,0,0,1,0,kmeans_plain,0,0,1
39,like,0.008584622748720554,0.022673153474275842,3,0,0,0,1,0,kmeans_plain,0,0,1
40,packet,0.00592131036339525,0.015220707257612043,4,0,0,0,1,0,kmeans_plain,0,0,1
41,traffic,0.005879844403522001,0.014849784738236038,4,0,0,0,1,0,kmeans_plain,0,0,1
42,key,0.005870414013101068,0.015229148175963225,4,0,0,0,1,0,kmeans_plain,0,0,1
43,method,0.0053722571603970065,0.013022970239795777,4,0,0,0,1,0,kmeans_plain,0,0,1
44,require,0.005273789223610951,0.012800103246718705,4,0,0,0,1,0,kmeans_plain,0,0,1
45,document,0.005205055692301789,0.01383381274391299,4,0,0,0,1,0,kmeans_plain,0,0,1
46,type,0.0051387591753933376,0.013609548955125087,4,0,0,0,1,0,kmeans_plain,0,0,1
47,request,0.005118276758203505,0.012668705554977792,4,0,0,0,1,0,kmeans_plain,0,0,1
48,number,0.005104559631655827,0.012544786441436513,4,0,0,0,1,0,kmeans_plain,0,0,1
49,email,0.005065291008483993,0.012579957191028902,4,0,0,0,1,0,kmeans_plain,0,0,1
50,later,0.008388834065357639,0.020763515542510633,5,0,0,0,1,0,kmeans_plain,0,0,1
51,event,0.00828036346505232,0.020480592268952307,5,0,0,0,1,0,kmeans_plain,0,0,1
52,story,0.008218707294775213,0.02032045774500392,5,0,0,0,1,0,kmeans_plain,0,0,1
53,twitter,0.008028727892483347,0.019874879120304702,5,0,0,0,1,0,kmeans_plain,0,0,1
54,write,0.007956366975785736,0.01971201012555661,5,0,0,0,1,0,kmeans_plain,0,0,1
55,series,0.007665070710611481,0.01904949093817612,5,0,0,0,1,0,kmeans_plain,0,0,1
56,day,0.00750216095485781,0.018706706229755166,5,0,0,0,1,0,kmeans_plain,0,0,1
57,begin,0.0072713782147777505,0.018206080728512836,5,0,0,0,1,0,kmeans_plain,0,0,1
58,start,0.00702625086879854,0.017707489285202504,5,0,0,0,1,0,kmeans_plain,0,0,1
59,post,0.006924338466605627,0.017607178523002497,5,0,0,0,1,0,kmeans_plain,0,0,1
60,court,0.014903874323221248,0.044184902912510614,6,0,0,0,1,0,kmeans_plain,0,0,1
61,united state,0.014796308433151365,0.04354533210913637,6,0,0,0,1,0,kmeans_plain,0,0,1
62,publish,0.014795445287368285,0.04368657693981312,6,0,0,0,1,0,kmeans_plain,0,0,1
63,order,0.014780177341863005,0.042928639758259536,6,0,0,0,1,0,kmeans_plain,0,0,1
64,china,0.01474366708612546,0.04316775734537959,6,0,0,0,1,0,kmeans_plain,0,0,1
65,issue,0.014742795109902701,0.04330341359741895,6,0,0,0,1,0,kmeans_plain,0,0,1
66,claim,0.014385588747177963,0.041120760060980324,6,0,0,0,1,0,kmeans_plain,0,0,1
67,foundation,0.013560632088142224,0.03755669008822574,6,0,0,0,1,0,kmeans_plain,0,0,1
68,december,0.012481433285973882,0.03336288823789666,6,0,0,0,1,0,kmeans_plain,0,0,1
69,article,0.012242956505890622,0.03259592528989904,6,0,0,0,1,0,kmeans_plain,0,0,1
70,august,0.005711173905083692,0.016206979274124587,0,0,0,0,1,0,kmeans_plain,0,0,1
71,government,0.006026565611725361,0.01617317071240542,0,0,0,0,1,0,kmeans_plain,0,0,1
72,key,0.007541741807087124,0.020754585209955212,2,0,0,0,1,0,kmeans_plain,0,0,1
73,packet,0.0075864194683914095,0.02064265879545777,2,0,0,0,1,0,kmeans_plain,0,0,1
74,traffic,0.007527786805937921,0.02003999077243243,2,0,0,0,1,0,kmeans_plain,0,0,1
75,implementation,0.005551349583072354,0.013455091125743154,4,0,0,0,1,0,kmeans_plain,0,0,1
76,standard,0.0046437153244687345,0.013381587092044945,4,0,0,0,1,0,kmeans_plain,0,0,1
77,host,0.004722643839293582,0.013328142801821378,4,0,0,0,1,0,kmeans_plain,0,0,1
78,set,0.0054794266029718226,0.013277666350214028,4,0,0,0,1,0,kmeans_plain,0,0,1
79,contain,0.0054607182039358455,0.013232102969715432,4,0,0,0,1,0,kmeans_plain,0,0,1
80,receive,0.004144208737408063,0.012789965130086813,4,0,0,0,1,0,kmeans_plain,0,0,1
