,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,network,0.008028655338096918,0.02629949500262789,0,0,1,0,0,0,kmeans_plain,0,0,1
1,protocol,0.00792574890484209,0.03132407401006128,0,0,1,0,0,0,kmeans_plain,0,0,1
2,rfc,0.007534838669594133,0.03397654223476569,0,0,1,0,0,0,kmeans_plain,0,0,1
3,packet,0.006421802924471289,0.032440692032934,0,0,1,0,0,0,kmeans_plain,0,0,1
4,internet,0.005163830768250464,0.015067715866996125,0,0,1,0,0,0,kmeans_plain,0,0,1
5,connection,0.004994667562563534,0.02412584588884603,0,0,1,0,0,0,kmeans_plain,0,0,1
6,tcp,0.004834964358233417,0.02583300127522982,0,0,1,0,0,0,kmeans_plain,0,0,1
7,ip,0.004229384209711785,0.02176475520027754,0,0,1,0,0,0,kmeans_plain,0,0,1
8,server,0.0042270350334583755,0.015191136243848536,0,0,1,0,0,0,kmeans_plain,0,0,1
9,ietf,0.004200993214141273,0.021958675975122778,0,0,1,0,0,0,kmeans_plain,0,0,1
10,browser,0.010145219886740626,0.035705436020562066,1,0,1,0,0,0,kmeans_plain,0,0,1
11,version,0.0077454512132135245,0.027342248806793527,1,0,1,0,0,0,kmeans_plain,0,0,1
12,web browser,0.007039042823404455,0.029067730527610598,1,0,1,0,0,0,kmeans_plain,0,0,1
13,support,0.006830633950812215,0.025713161518788115,1,0,1,0,0,0,kmeans_plain,0,0,1
14,javascript,0.0062361329638641145,0.02626788708454877,1,0,1,0,0,0,kmeans_plain,0,0,1
15,html,0.0062361329638641145,0.02626788708454877,1,0,1,0,0,0,kmeans_plain,0,0,1
16,internet explorer,0.0060278519771248,0.02712053870250877,1,0,1,0,0,0,kmeans_plain,0,0,1
17,firefox,0.005972199560580168,0.02700266887040399,1,0,1,0,0,0,kmeans_plain,0,0,1
18,web,0.005887466181157003,0.01905078773590884,1,0,1,0,0,0,kmeans_plain,0,0,1
19,features,0.00534101582083202,0.0205518578321849,1,0,1,0,0,0,kmeans_plain,0,0,1
20,youtube,0.0044271837616298125,0.020587438552443094,2,0,1,0,0,0,kmeans_plain,0,0,1
21,series,0.0041176597010766465,0.020375011612859192,2,0,1,0,0,0,kmeans_plain,0,0,1
22,site,0.003960663379887978,0.012943551543827488,2,0,1,0,0,0,kmeans_plain,0,0,1
23,video,0.0038106060946257094,0.015521178505980587,2,0,1,0,0,0,kmeans_plain,0,0,1
24,book,0.0036632153197243577,0.0172696705587132,2,0,1,0,0,0,kmeans_plain,0,0,1
25,episodes,0.0035494176222991467,0.019062218642022673,2,0,1,0,0,0,kmeans_plain,0,0,1
26,television,0.003240050241093434,0.016079360423002186,2,0,1,0,0,0,kmeans_plain,0,0,1
27,references,0.003132072451307709,0.009083053808991283,2,0,1,0,0,0,kmeans_plain,0,0,1
28,twitter,0.003005232523990871,0.014051332982263173,2,0,1,0,0,0,kmeans_plain,0,0,1
29,film,0.0029382398336813683,0.01510749671669132,2,0,1,0,0,0,kmeans_plain,0,0,1
30,company,0.009495424985714773,0.026825645575950754,3,0,1,0,0,0,kmeans_plain,0,0,1
31,service,0.005675648714681764,0.016996821883629085,3,0,1,0,0,0,kmeans_plain,0,0,1
32,launched,0.005216485056668996,0.018412402356334664,3,0,1,0,0,0,kmeans_plain,0,0,1
33,inc,0.005130361101911107,0.01862156217656153,3,0,1,0,0,0,kmeans_plain,0,0,1
34,acquired,0.00490876035460901,0.01762195424566697,3,0,1,0,0,0,kmeans_plain,0,0,1
35,announced,0.004368151535692751,0.01521189415146463,3,0,1,0,0,0,kmeans_plain,0,0,1
36,platform,0.004284115916342466,0.015144424854656693,3,0,1,0,0,0,kmeans_plain,0,0,1
37,app,0.004134471013761304,0.015274196073705702,3,0,1,0,0,0,kmeans_plain,0,0,1
38,users,0.004131979109570917,0.011511792018468773,3,0,1,0,0,0,kmeans_plain,0,0,1
39,music,0.003919983466182782,0.01402859394740962,3,0,1,0,0,0,kmeans_plain,0,0,1
40,information,0.005619497869485826,0.016850263692423005,4,0,1,0,0,0,kmeans_plain,0,0,1
41,online,0.0050709606680286404,0.015355346682416561,4,0,1,0,0,0,kmeans_plain,0,0,1
42,content,0.004823543346921522,0.01434062479223492,4,0,1,0,0,0,kmeans_plain,0,0,1
43,people,0.004198839530270794,0.014581459106334071,4,0,1,0,0,0,kmeans_plain,0,0,1
44,social,0.004043277343587716,0.014825174253023347,4,0,1,0,0,0,kmeans_plain,0,0,1
45,marketing,0.003998325401527706,0.014708254402910893,4,0,1,0,0,0,kmeans_plain,0,0,1
46,advertising,0.003985322165746081,0.01404854244356768,4,0,1,0,0,0,kmeans_plain,0,0,1
47,page,0.0039133344311049695,0.013100385187526127,4,0,1,0,0,0,kmeans_plain,0,0,1
48,search,0.0038428458936293807,0.013228937414954798,4,0,1,0,0,0,kmeans_plain,0,0,1
49,google,0.0037860945797006866,0.011742244155344653,4,0,1,0,0,0,kmeans_plain,0,0,1
50,law,0.005006246354450996,0.021366366842474272,5,0,1,0,0,0,kmeans_plain,0,0,1
51,government,0.004784206866437599,0.01771284813087066,5,0,1,0,0,0,kmeans_plain,0,0,1
52,security,0.0038441451375448234,0.014407146273995966,5,0,1,0,0,0,kmeans_plain,0,0,1
53,tor,0.003711352464163661,0.01745988895537342,5,0,1,0,0,0,kmeans_plain,0,0,1
54,attack,0.0035979852945638405,0.015528075398981447,5,0,1,0,0,0,kmeans_plain,0,0,1
55,act,0.003585255970037908,0.015934353203212,5,0,1,0,0,0,kmeans_plain,0,0,1
56,software,0.0034853819113934777,0.011616049199027922,5,0,1,0,0,0,kmeans_plain,0,0,1
57,privacy,0.0034835257316644373,0.01420993413484027,5,0,1,0,0,0,kmeans_plain,0,0,1
58,websites,0.003427550792243542,0.012106137793881276,5,0,1,0,0,0,kmeans_plain,0,0,1
59,legal,0.0033879729414388183,0.015263676508156635,5,0,1,0,0,0,kmeans_plain,0,0,1
60,domain,0.01920665664724081,0.07604236710206924,6,0,1,0,0,0,kmeans_plain,0,0,1
61,iana,0.017238995747437782,0.09953180087434776,6,0,1,0,0,0,kmeans_plain,0,0,1
62,level domain,0.015418189022669226,0.09334976060566638,6,0,1,0,0,0,kmeans_plain,0,0,1
63,whois information,0.015367004577641145,0.10047785863421539,6,0,1,0,0,0,kmeans_plain,0,0,1
64,registration,0.014802474238391239,0.07998859832789448,6,0,1,0,0,0,kmeans_plain,0,0,1
65,internet country code,0.014238724648145514,0.09557237395342034,6,0,1,0,0,0,kmeans_plain,0,0,1
66,level domain cctld,0.014112358867102834,0.09575269918729473,6,0,1,0,0,0,kmeans_plain,0,0,1
